What,Where,When,How_Much
Julie Berthelsen - Fra radioen til Beghusets skrå brædder.,"Restaurant Beghuset, Strandgade 14, Dragør","Thur 12 April 2018, 6 pm.","(Entrance fee: DKK 418,- inklusiv tapas)"
Charlotte Fich: Tæt på musikken.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Thur 12 April 2018, 7.30 pm.",(Entrance fee: 125 DKK)
Den nye sangskat.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 12 April 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
Hanne Boel.,"Galaksen, Bymidten 48, Værløse","Thur 12 April 2018, 8 pm.",(Entrance fee: 270 DKK)
Saveus.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 12 April 2018, 8 pm.",(Entrance fee)
Benal (dk) - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Thur 12 April 2018, 8 pm.","(Entrance fee: 225,00 DKK)"
Uffe Steen Trio og Vestbo Trio.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Thur 12 April 2018, 8.30 pm  - 11 pm.",(Entrance fee: 120kr. + gebyr i forsalg - 130kr. i døren)
Courtney Marie Andrews (US).,"VEGA, Enghavevej 40, Copenhagen V","Thur 12 April 2018, 9 pm.","(Entrance fee: 160,00 DKK)"
Macelaru & Joshua Bell.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 13 April 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 13 April 2018, 8 pm.",(Entrance fee: Kr 30)
Maria Montell.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Fri 13 April 2018, 8 pm.",(Entrance fee: 195 DKK)
Alberte Winding og band.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Fri 13 April 2018, 8.30 pm.",(Entrance fee: 180 DKK inkl. gebyr)
Sunflower Bean.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Fri 13 April 2018, 9 pm.",(Entrance fee: 80 DKK)
Freddy And The Phantoms.,"Beta, Øresundsvej 6, Copenhagen S","Fri 13 April 2018, 9 pm.","(Entrance fee: 95,00 DKK)"
Yasmin & Jakob Dinesen.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 14 April 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"
Macelaru & Joshua Bell.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 14 April 2018, 3 pm.",(Entrance fee: 85 - 497 DKK)
Satie med venner 2018 - Forårskoncert.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sat 14 April 2018, 3.00 pm.",(Entrance fee: 100 DKK.)
Erann DD.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 14 April 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"
Opvisning og fællesdans.,"Herlev Gamle Skole, Herlev Bygade 92 B, Herlev","Sat 14 April 2018, 7 pm  - 11 pm.",(Entrance fee: 0 DKK. 35 DKK. 70 DKK.)
Bisse (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 14 April 2018, 8 pm.","(Entrance fee: 225,00 DKK)"
Billy Boy In Poison + Livløs.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 14 April 2018, 8.30 pm.",(Entrance fee: 70 DKK. inkl. gebyr)
Best of Bowie.,"Hvidovre Medborgerhus, Hvidovrevej 280, Hvidovre","Sat 14 April 2018, 9 pm.",(Entrance fee: 150 DKK. inkl. gebyr)
Hush.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 14 April 2018, 9 pm.","(Entrance fee: 220,00 DKK)"
"Arild Kvartetten spiller Beethoven, LvB#3.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sun 15 April 2018, 12 am.",(Entrance fee: 200 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 15 April 2018, 1 pm.",(Entrance fee: 110 DKK)
Wardruna.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 15 April 2018, 8 pm.",(Entrance fee: 345 - 390 DKK)
Marlon Williams (NZ).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 15 April 2018, 8 pm.","(Entrance fee: 105,00 DKK)"
Pianist Gilbert de Greeve.,"Taastrup Musikforening, Taastrup Kulturcenter, Poppel Allé 12, Taastrup","Mon 16 April 2018, 7.30 pm.",
Gilbert de Greeve.,"Fritidscentret Hedehuset, Hovedgaden 371, Hedehusene","Mon 16 April 2018, 7.30 pm.",(Entrance fee: 60-125 DKK.)
2 korte film fra audiovisuel antropologi v. Sebastian Lowe.,"Metronomen, Godthåbsvej 33, Frederiksberg","Mon 16 April 2018, 7.30 pm.",(Free admission)
Bachs fire orkestersuiter / Concerto Copenhagen.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Tues 17 April 2018, 8 pm.",(Entrance fee: (Entré: DKK. 200/stud. med gyldigt årskort DKK. 50))
Gengahr (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 17 April 2018, 8 pm.","(Entrance fee: 140,00 DKK)"
Onsdags-jazz på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 18 April 2018, 6 pm.",(Free admission)
Koncert med Kim Sjøgren.,"Hans Egedes Kirke, Vardegade 14, Copenhagen Ø","Wed 18 April 2018, 7.30 pm  - 9 pm.",
Dansk Selskab For Russisk Musik.,"Metronomen, Godthåbsvej 33, Frederiksberg","Wed 18 April 2018, 8.00 pm  - 10.00 pm.",(Entrance fee: 100 DKK/ 70 DKK ved døren)
Node (dk).,"VEGA, Enghavevej 40, Copenhagen V","Wed 18 April 2018, 9 pm.","(Entrance fee: 165,00 DKK)"
Fra Elizabeth I til Elizabeth II - 400 års engelsk kirkemusik.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Thur 19 April 2018, 7.30 pm.",(Entrance fee: 85 - 150 DKK)
Majken & Fjeldtetten.,"Jonstruphus, Jonstrupvangvej 159, Værløse","Thur 19 April 2018, 7.30 pm.",
Hush.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 19 April 2018, 8 pm.",(Entrance fee: 245 - 295 DKK)
"Billy Cross, Musikalsk talkshow.","Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Thur 19 April 2018, 8 pm.",(Entrance fee: 150 DKK)
The Selecter & The Beat.,"VEGA, Enghavevej 40, Copenhagen V","Thur 19 April 2018, 8 pm.",
Medina.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 20 April 2018, 7 pm.","(Entrance fee: 1220,00 DKK)"
Luisi & Bruckners 7.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 20 April 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Cphphil Dvorak.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 20 April 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)
Sam Smith Udsolgt/venteliste.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 20 April 2018, 8 pm.","(Entrance fee: 400,00 dkk - 700,00 dkk)"
C.v. Jørgensen - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Fri 20 April 2018, 8 pm.","(Entrance fee: 450,00 DKK)"
Route 66 - 60'er musik - Ingvar & Bandet.,"Ellegården, Stavnsholtvej 168, Farum","Fri 20 April 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)
Silvester.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 20 April 2018, 9 pm.",(Entrance fee: 150 DKK)
Satie med venner 2018 - 10-års jubilæumskoncert.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sat 21 April 2018, 3.00 pm  - 5.00 pm.",(Entrance fee: 150 DKK.)
Michael Learns To Rock.,"Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sat 21 April 2018, 8 pm.","(Entrance fee: 300,00 dkk - 500,00 dkk)"
Die Reeperbahn - Hyldest til Tom Waits.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 21 April 2018, 8 pm.",(Entrance fee: 125 DKK)
Thirty Seconds To Mars.,"TAP1, Raffinaderivej 10, Copenhagen S","Sat 21 April 2018, 8 pm.","(Entrance fee: 410,00 DKK)"
C.v. Jørgensen - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Sat 21 April 2018, 8 pm.",(Entrance fee)
The Van.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Sat 21 April 2018, 9 pm.",(Entrance fee: 149 DKK)
Mathilde Falch m Band.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 21 April 2018, 9 pm.",(Entrance fee: 140 DKK. + gebyr - 160 DKK i døren)
Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 22 April 2018, 12 am.",(Entrance fee: 50 DKK)
Schubert - Die schöne Müllerin.,"Store Magleby Kirke, Kirkevej 2, Dragør","Sun 22 April 2018, 4 pm  - 5.30 pm.",
Series of Four - DSQ+.,"Det Kongelige Danske Musikkonservatorium (DKDM), Rosenørns Allé 22, Frederiksberg C","Sun 22 April 2018, 7.30 pm.",(Entrance fee: 120)
Niall Horan - Flicker World Tour 2018 - Udsolgt/venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Sun 22 April 2018, 8 pm.","(Entrance fee: 450,00 DKK)"
Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 23 April 2018, 10 am.",(Entrance fee: 50 DKK)
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Mon 23 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)
3 wienerklassiske koncerter - Mozart/Haydn. 7. koncert i Lyngby Taarbæk Musikforening.,"Stadsbiblioteket i Lyngby, Lyngby Hovedgade 28, Kongens Lyngby","Mon 23 April 2018, 8 pm.",(Entrance fee: 130 DKK.)
Scott Bradlee's Postmodern Jukebox (US).,"VEGA, Enghavevej 40, Copenhagen V","Mon 23 April 2018, 8 pm.","(Entrance fee: 395,00 DKK)"
Postmodern Jukebox Gold VIP Pakke.,"VEGA, Enghavevej 40, Copenhagen V","Mon 23 April 2018, 8.01 pm.",(Entrance fee)
Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 24 April 2018, 10 am.",(Entrance fee: 50 DKK)
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Tues 24 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)
Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 25 April 2018, 10 am.",(Entrance fee: 50 DKK)
Jeannet Ulrikkeholm.,"Glostrup Bibliotek, Kildevældets Allé 5, Glostrup","Wed 25 April 2018, 7 pm  - 9 pm.",
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Wed 25 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)
Hanne Boel - Live 2018.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Wed 25 April 2018, 8 pm.",(Entrance fee)
Jacob Bellens (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 25 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Klumben og Raske Penge (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 25 April 2018, 9 pm.","(Entrance fee: 165,00 DKK)"
Forårsfest.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 26 April 2018, 7 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
CPHPHIL Strauss og mesterværkerne.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Thur 26 April 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Thur 26 April 2018, 7.30 pm.",(Entrance fee: 295 - 360 DKK)
Lauv.,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 26 April 2018, 8 pm.",(Entrance fee: 180 DKK)
Noah Carter (DK).,"VEGA, Enghavevej 40, Copenhagen V","Thur 26 April 2018, 8 pm.","(Entrance fee: 180,00 DKK)"
Malko 2018.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 27 April 2018, 6.30 pm.",(Entrance fee: 48 - 317 DKK)
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Fri 27 April 2018, 7 pm.",(Entrance fee: 295 - 360 DKK)
Østkyst Hustlers.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 27 April 2018, 9 pm.","(Entrance fee: 195,00 DKK)"
Petri/Hannibal - instrumentalister i verdensklasse.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 28 April 2018, 2.30 pm  - 3.30 pm.",
"Niels Hausgaard ""på Egen Hånd"".","Tivoli - Glassalen, Vesterbrogade 3, Copenhagen V","Sat 28 April 2018, 7 pm.",(Entrance fee: 295 - 360 DKK)
Turboweekend (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 28 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Jacob Dinesen.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Sat 28 April 2018, 8 pm.",(Entrance fee: 350 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 29 April 2018, 1 pm.",(Entrance fee: 110 DKK)
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 29 April 2018, 5 pm  - 8 pm.",(Free admission)
Wiener Filharmonikerne.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 29 April 2018, 7.30 pm.",(Entrance fee: 248 - 992 DKK)
Asaf Avidan (IL).,"VEGA, Enghavevej 40, Copenhagen V","Sun 29 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Claudiuskorets forårskoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Mon 30 April 2018, 7.30 pm  - 9 pm.",
Farinelli vs. Senesino / Concerto Copenhagen.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Mon 30 April 2018, 8 pm.",(Entrance fee: (Entré: DKK. 200/stud. med gyldigt årskort DKK. 50))
Chris Minh Doky.,"VEGA, Enghavevej 40, Copenhagen V","Mon 30 April 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Arrangement.,"Sankt Stefans Kirke, Nørrebrogade 191, Copenhagen N","Tues 1 May 2018, 11 am  - 2 pm.",
1. maj med farverige strygekvartetter.,"Unitarernes Hus, Dag Hammarskjölds Allé 30, Copenhagen Ø","Tues 1 May 2018, 7.30 pm.",(Entrance fee: 90 - 150 DKK)
Trio con Brio & DiamantEnsemblet.,"Det Kongelige Bibliotek/Den Sorte Diamant, Søren Kierkegaards Plads 1, Copenhagen K","Tues 1 May 2018, 8 pm.",(Entrance fee: 150 - 210 DKK)
Machine Head (US) - Catharsis World Tour 2018.,"VEGA, Enghavevej 40, Copenhagen V","Tues 1 May 2018, 8 pm.","(Entrance fee: 350,00 DKK)"
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 2 May 2018, 6 pm.",(Free admission)
Mirja Klippel (50/50 koncert).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 2 May 2018, 7.30 pm.",(Entrance fee: 55 DKK)
Dreamers' Circus.,"Baltoppen Live, Baltorpvej 20, Ballerup","Thur 3 May 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Shame (uk).,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 3 May 2018, 9 pm.",
Anne Linnet.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 4 May 2018, 7 pm.","(Entrance fee: 1020,00 DKK)"
RubberBand - 110% Beatles.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 4 May 2018, 8 pm.","(Entrance fee: 130,00 DKK)"
B l a s t !!!,"Ellegården, Stavnsholtvej 168, Farum","Fri 4 May 2018, 9 pm.","(Entrance fee: entre billet 260 DKK, entre + jazzmenu, balkon 410 DKK, entre + jazzmenu 410 DKK)"
Social Club.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 4 May 2018, 9 pm.",(Entrance fee: 150 DKK. + bebyr / dør 170)
Incognito.,"Docken København, Nordhavnen, Færgehavnsvej 35, Nordhavn","Sat 5 May 2018, 6.30 pm.",(Entrance fee)
Moonjam.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 5 May 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"
Niels Skousen (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 5 May 2018, 8 pm.","(Entrance fee: 190,00 DKK)"
I'm With Her (US).,"Global Copenhagen, Nørre Allé 7, Copenhagen N","Sat 5 May 2018, 9 pm.",(Entrance fee: 150 DKK)
Ought live på Loppen.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Sat 5 May 2018, 9 pm.",(Entrance fee: 140 DKK)
Himmerland feat. Mairi Campbell.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 8 May 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Eden.,"Pumpehuset, Studiestræde 52, Copenhagen V","Wed 9 May 2018, 9 pm.","(Entrance fee: 210,00 DKK)"
Collon & Mahlers 10.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 10 May 2018, 7.30 pm.",(Entrance fee: 73 - 500 DKK)
Die Herren.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 11 May 2018, 8 pm.",(Entrance fee: 205 DKK + evt. gebyr)
Lilly Hiatt (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 12 May 2018, 8 pm.","(Entrance fee: 135,00 DKK)"
Fil Bo Riva (it).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 13 May 2018, 8 pm.","(Entrance fee: 105,00 DKK)"
The Almost Family Choir.,"Metronomen, Godthåbsvej 33, Frederiksberg","Tues 15 May 2018, 7.30 pm.",(Free admission)
Onsdags-jazz på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 16 May 2018, 6 pm.",(Free admission)
Olöf Arnalds & Skuli Sverrisson (IS).,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Wed 16 May 2018, 8 pm.","(Entrance fee: 110,00 DKK)"
Mena & Mozart.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 17 May 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Arena (UK).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Thur 17 May 2018, 7.30 pm.",(Entrance fee: 195 DKK)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 18 May 2018, 8 pm.",(Entrance fee: Kr 30)
Starboys Go Jazzy.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 19 May 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"
Mena & Mozart.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 19 May 2018, 3 pm.",(Entrance fee: 85 - 497 DKK)
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"Lyngby Sognegård, Stades Krog 9, Kongens Lyngby","Sat 19 May 2018, 8 pm.",(Entrance fee: 40 DKK)
Mike Tramp & Band of Brothers.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 19 May 2018, 9 pm.",(Entrance fee)
Depeche Mode Fest feat: Enjoy The Silence Live.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 19 May 2018, 9 pm.",(Entrance fee: 125 DKK. + gebyr i forsalgI - 150 DKK. i døren)
Skar's Blues Band spiller på Havnehytten ved Lyngby sø.,"Havnehytten, Rustenborgvej 21, Kongens Lyngby","Sun 20 May 2018, 2.30 pm.",(Free admission)
Erlend Viken Trio.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 22 May 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Baltic Crossing.,"Baltoppen Live, Baltorpvej 20, Ballerup","Wed 23 May 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Musicalpremiere.,"Emdrup Kirke, Ved Vigen 7-9, Copenhagen NV","Fri 25 May 2018, 7 pm  - 9 pm.",
Route 66 - 60'er musik - Chimbo's Revival og Wild Wax Combo.,"Ellegården, Stavnsholtvej 168, Farum","Fri 25 May 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)
Vi Elsker 90'erne - Verdens Største 90'er fest 2018.,"Espelundens Idrætsanlæg, Korsdalsvej 100, Rødovre","Sat 26 May 2018, 11 am.","(Entrance fee: 374,00 dkk - 1124,00 dkk)"
Vox Absona.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 26 May 2018, 12.30 am  - 1.30 pm.",
Musicalforestilling.,"Emdrup Kirke, Ved Vigen 7-9, Copenhagen NV","Sat 26 May 2018, 4 pm  - 6.30 pm.",
Opera på Amfi Hvidovre: Nordic Singers.,"Amfiscenen, Poppelgården, Byvej 90, Hvidovre","Sun 27 May 2018, 12 am  - 4 pm.",(Free admission)
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 27 May 2018, 5 pm  - 8 pm.",(Free admission)
Rita ora.,"VEGA, Enghavevej 40, Copenhagen V","Sun 27 May 2018, 8 pm.","(Entrance fee: 240,00 DKK)"
Sommertid I Søndermarken.,"Søndermarken, Indgangen fra Valby Langgade, Valby","Fri 1 June 2018, 4 pm.",
Game Of Thrones: Live Concert Experience - Featuring Ramin Djawadi.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 1 June 2018, 8 pm.","(Entrance fee: 380,00 dkk - 660,00 dkk)"
The Vamps (UK).,"VEGA, Enghavevej 40, Copenhagen V","Fri 1 June 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Sommertid I Søndermarken.,"Søndermarken, Indgangen fra Valby Langgade, Valby","Sat 2 June 2018, 4 pm.",
Rasmus Seebach Familiekoncert.,"Valbyparken, Hammelstrupvej 98, Copenhagen SV","Sat 2 June 2018, 5 pm.","(Entrance fee: 165,00 dkk - 330,00 dkk)"
Elvis In Concert - Live on Screen.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Mon 4 June 2018, 8 pm.",
Iron Maiden - Legacy Of The Beast Tour.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Tues 5 June 2018, 8 pm.",(Entrance fee)
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 6 June 2018, 6 pm.",(Free admission)
3 i 1 koncert.,"Sundby Kirke, Amagerbrogade 71, Copenhagen S","Wed 6 June 2018, 8 pm  - 9 pm.",
Rasmus Walter.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Fri 8 June 2018, 7 pm.","(Entrance fee: 1020,00 DKK)"
Katy Perry - Witness The Tour.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 8 June 2018, 7.30 pm.","(Entrance fee: 360,00 dkk - 760,00 dkk)"
The Tribe.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 9 June 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"
Nattens Tivoli - familiekoncert.,"Tivolis Koncertsal, Vesterbrogade 3, Copenhagen V","Sat 9 June 2018, 3 pm.",(Entrance fee: 155 - 225 DKK)
Nattens Tivoli - familiekoncert.,"Tivolis Koncertsal, Vesterbrogade 3, Copenhagen V","Sun 10 June 2018, 3 pm.",(Entrance fee: 155 - 225 DKK)
DR PigeKorets midsommer.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 10 June 2018, 4 pm.",
DR PigeKorets midsommer.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 11 June 2018, 6.30 pm.",(Entrance fee: 98 - 300 DKK)
Michaela Fukacová: Cello. 8. koncert i Lyngby Taarbæk Musikforening.,"Sorgenfri Kirke og Sognegård, Hummeltoften 1, Virum","Tues 12 June 2018, 7.30 pm.",(Entrance fee: 130 DKK.)
Sommerkoncert med Godspel.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Thur 21 June 2018, 7.30 pm  - 8.45 pm.",
Runrig - The Final Mile.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 22 June 2018, 8 pm.","(Entrance fee: 290,00 dkk - 480,00 dkk)"
André Rieu.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sat 23 June 2018, 8 pm.","(Entrance fee: 585,00 dkk - 910,00 dkk)"
Roger Waters - Us + Them.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 10 August 2018, 8 pm.",(Entrance fee)
Roger Waters - Us + Them.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sat 11 August 2018, 8 pm.",(Entrance fee)
Duo Huayra.,"Lindevang Kirke, Hattensens Allé 12, Frederiksberg","Sun 12 August 2018, 3 pm  - 4 pm.",
Skar's Blues Band spiller på Havnehytten ved Lyngby Sø.,"Havnehytten, Rustenborgvej 21, Kongens Lyngby","Sun 2 September 2018, 2.30 pm.",(Free admission)
"Arild Kvartetten spiller Beethoven, LvB#4.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sun 9 September 2018, 12 am.",(Entrance fee: 200 DKK)
Søndagsbal med Rødovre Palmehaveorkester.,"Rødovregaard, Kirkesvinget 1, Rødovre","Sun 9 September 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 14 September 2018, 8 pm.",(Entrance fee: Kr 30)
Jeff Lynne's Elo Live 2018.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sun 16 September 2018, 8 pm.","(Entrance fee: 480,00 dkk - 810,00 dkk)"
Chimbos Revival & Ray Ennis.,"Ellegården, Stavnsholtvej 168, Farum","Fri 28 September 2018, 8 pm.",
Poul Halberg & Friends.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 29 September 2018, 9 pm.",(Entrance fee: 200 DKK. + gebyr - dør 230 DKK.)
